Biome	Env	Comments
marine biome (ENVO_00000447),NA,NA,water track	Freshwater	Mistakenly labelled as marine. Looks at Arctic freshwater lakes
marine biome (ENVO_00000447),NA,algal material (ENVO_01001189)	Marine pelagic	-
marine biome (ENVO_00000447),NA,microbial mat (ENVO_01000008)	Marine benthic	-
marine biome (ENVO_00000447),NA,organismal entity (PCO_0000031)	Marine pelagic	-
marine biome (ENVO_00000447),NA,sea ice (ENVO_00002200)	Marine pelagic	-
marine biome (ENVO_00000447),NA,sea water (ENVO_00002149)	Marine pelagic	-
marine biome (ENVO_00000447),NA,sediment (ENVO_00002007)	Marine benthic	-
marine biome (ENVO_00000447),marine sub-littoral zone (ENVO_01000126),sea water (ENVO_00002149)	Marine pelagic	-
marine biome (ENVO_00000447),surface water layer (ENVO_00010504),sea water (ENVO_00002149)	Marine pelagic	-
marine coral reef biome (ENVO_01000049)	Marine pelagic	-
marine hydrothermal vent biome (ENVO_01000030)	Marine benthic	-
marine neritic benthic zone biome (ENVO_01000025),intertidal zone (ENVO_00000316),algal material (ENVO_01001189)	Marine benthic	-
marine neritic benthic zone biome (ENVO_01000025),intertidal zone (ENVO_00000316),rock (ENVO_00001995)	Marine benthic	-
marine neritic benthic zone biome (ENVO_01000025),intertidal zone (ENVO_00000316),sea water (ENVO_00002149)	Marine pelagic	-
marine neritic benthic zone biome (ENVO_01000025),marine sub-littoral zone (ENVO_01000126),sediment (ENVO_00002007)	Marine benthic	-
marine neritic benthic zone biome (ENVO_01000025),shallow marine sediment (ENVO_01000043),marine sediment (ENVO_03000033)	Marine benthic	-
marine neritic benthic zone biome (ENVO_01000025),shallow marine sediment (ENVO_01000043),sediment	Marine benthic	-
marine pelagic biome (ENVO_01000023)	Marine pelagic	-
neritic epipelagic zone biome (ENVO_01000042)	Marine pelagic	-
neritic mesopelagic zone biome (ENVO_01000043),marine anoxic zone (ENVO_01000066),anoxic water	Marine pelagic	-
neritic mesopelagic zone biome (ENVO_01000043),marine anoxic zone (ENVO_01000066),sea water (ENVO_00002149)	Marine pelagic	-
oceanic bathypelagic zone biome (ENVO_01000037)	Marine pelagic	-
oceanic epipelagic zone biome (ENVO_01000035)	Marine pelagic	-
small river biome (ENVO_00000890)	Freshwater	-
temperate broadleaf forest biome (ENVO_01000202)	Soil	-
temperate coniferous forest biome (ENVO_01000211)	Soil	-
terrestrial biome (ENVO_00000446)	Soil	-
woodland biome (ENVO_01000208),NA,soil (ENVO_00001998)	Soil	-
woodland biome (ENVO_01000208),NA,sediment (ENVO_00002007)	Freshwater	-
